Location:,"20th Street @ Franklin Street",,,,,,Weather:,"Sunny and Clear",,,
Date:,2011/05/04,,,,,,Counter:,"Metro Traffic Data Inc.",,,
,,,,,,,,,,,
,"Primary street:",,"20th Street",,,,"Primary street:",,"20th Street",,
,Approach:,,Eastbound,,WestLeg,,Approach:,,Westbound,,EastLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,1,1,0,41,,0,0,8,0,54
4:15-4:30pm,0,0,3,0,27,,0,1,6,0,38
4:30-4:45pm,1,1,1,0,50,,3,0,7,0,40
4:45-5:00pm,0,0,0,1,3,,0,0,1,0,48
"4:00-5:00pm Total:",1,2,5,1,121,,3,1,22,0,180
5:00-5:15pm,0,0,3,0,11,,2,0,1,0,79
5:15-5:30pm,0,1,0,0,3,,1,0,8,0,45
5:30-5:45pm,0,0,6,1,5,,2,0,4,1,38
5:45-6:00pm,0,0,0,0,6,,1,0,4,1,27
"5:00-6:00pm Total:",0,1,9,1,25,,6,0,17,2,189
"4:00-6:00pm Total:",1,3,14,2,146,,9,1,39,2,369
,"Total # of Bicyclists: ",,18,,,,"Total # of Bicyclists: ",,49,,
,,,,,,,,,,,
,"Cross street:",,"Franklin Street",,,,"Cross street:",,"Franklin Street",,
,Approach:,,Northbound,,SouthLeg,,Approach:,,Southbound,,NorthLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,0,1,0,26,,0,0,0,0,150
4:15-4:30pm,0,0,4,0,21,,0,0,0,0,151
4:30-4:45pm,1,2,7,0,34,,0,1,0,0,209
4:45-5:00pm,4,0,5,0,65,,0,0,0,0,143
"4:00-5:00pm Total:",5,2,17,0,146,,0,1,0,0,653
5:00-5:15pm,1,1,7,0,55,,0,1,0,0,333
5:15-5:30pm,2,2,11,0,42,,0,0,0,0,213
5:30-5:45pm,3,0,12,0,50,,0,0,0,0,204
5:45-6:00pm,1,2,6,0,28,,0,1,1,0,165
"5:00-6:00pm Total:",7,5,36,0,175,,0,2,1,0,915
"4:00-6:00pm Total:",12,7,53,0,321,,0,3,1,0,1568
,"Total # of Bicyclists: ",,72,,,,"Total # of Bicyclists: ",,4,,
,,,,,,,,,,,
"Totals (4:00pm - 6:00pm)",,,,,,,,,,,
"Total # of Bicyclists: ",,143,"[Include bicyclists on sidewalks but not bicycles on buses.]",,,,,,,,
"Total # of Bikes on Buses:",,4,"[Count bicycles on the racks of buses.]",,,,,,,,
"Total # of Pedestrians",,2404,"[Count pedestrians by crossing leg for each intersection approach.]",,,,,,,,
"Total # of Bikes on Sidewalk:",,8,"[Subtotal of bicyclists on sidewalks.]",,,,,,,,
,,,"[Bicyclists on sidewalks are also included in the turning movement counts.]",,,,,,,,
